,非洲獅,非洲象,貓頭鷹,獵豹,穿山甲,海豚,遊隼,科摩多龍,大猩猩,蜜獾,加拉巴哥象龜,黑斑羚,蘇門答臘虎,灣鱷,北極狐,紅袋鼠
非洲獅,-,50.4%,92.4%,74.7%,91.5%,73.0%,86.2%,75.7%,54.8%,60.2%,93.0%,89.4%,62.6%,56.1%,77.1%,85.8%
非洲象,49.6%,-,86.7%,65.4%,85.8%,67.6%,79.8%,67.9%,48.8%,52.4%,86.2%,86.4%,57.0%,55.1%,72.9%,77.6%
貓頭鷹,7.6%,13.3%,-,25.8%,68.8%,23.9%,43.0%,22.2%,9.8%,9.4%,68.4%,53.4%,11.6%,14.7%,25.7%,23.3%
獵豹,25.3%,34.6%,74.2%,-,81.4%,50.6%,66.9%,46.2%,30.2%,32.7%,83.8%,75.4%,34.8%,37.0%,55.8%,55.7%
穿山甲,8.5%,14.2%,31.2%,18.6%,-,16.2%,30.7%,20.8%,9.0%,12.3%,58.5%,31.5%,10.2%,16.4%,21.1%,25.7%
海豚,27.0%,32.4%,76.1%,49.4%,83.8%,-,68.8%,53.3%,29.2%,34.7%,83.6%,78.2%,35.2%,37.7%,56.6%,56.4%
遊隼,13.8%,20.2%,57.0%,33.1%,69.3%,31.2%,-,33.0%,18.3%,20.3%,69.9%,56.7%,22.5%,19.8%,31.4%,36.6%
科摩多龍,24.3%,32.1%,77.8%,53.8%,79.2%,46.7%,67.0%,-,29.4%,32.8%,80.3%,78.0%,37.7%,32.4%,53.0%,60.6%
大猩猩,45.2%,51.2%,90.2%,69.8%,91.0%,70.8%,81.7%,70.6%,-,56.9%,89.3%,86.0%,54.3%,51.5%,71.0%,77.9%
蜜獾,39.8%,47.6%,90.6%,67.3%,87.7%,65.3%,79.7%,67.2%,43.1%,-,91.8%,87.8%,52.8%,51.3%,70.5%,81.6%
加拉巴哥象龜,7.0%,13.8%,31.6%,16.2%,41.5%,16.4%,30.1%,19.7%,10.7%,8.2%,-,26.6%,12.2%,14.1%,19.5%,22.0%
黑斑羚,10.6%,13.6%,46.6%,24.6%,68.5%,21.8%,43.3%,22.0%,14.0%,12.2%,73.4%,-,15.0%,19.0%,24.8%,26.7%
蘇門答臘虎,37.4%,43.0%,88.4%,65.2%,89.8%,64.8%,77.5%,62.3%,45.7%,47.2%,87.8%,85.0%,-,43.6%,70.0%,74.2%
灣鱷,43.9%,44.9%,85.3%,63.0%,83.6%,62.3%,80.2%,67.6%,48.5%,48.7%,85.9%,81.0%,56.4%,-,71.5%,77.6%
北極狐,22.9%,27.1%,74.3%,44.2%,78.9%,43.4%,68.6%,47.0%,29.0%,29.5%,80.5%,75.2%,30.0%,28.5%,-,55.1%
紅袋鼠,14.2%,22.4%,76.7%,44.3%,74.3%,43.6%,63.4%,39.4%,22.1%,18.4%,78.0%,73.3%,25.8%,22.4%,44.9%,-
