,非洲獅,非洲象,貓頭鷹,獵豹,穿山甲,海豚,遊隼,科摩多龍,大猩猩,蜜獾,加拉巴哥象龜,黑斑羚,蘇門答臘虎,灣鱷,北極狐,紅袋鼠
非洲獅,-,49.0%,65.3%,58.9%,65.5%,53.8%,66.6%,59.1%,50.5%,54.3%,65.4%,66.5%,53.7%,55.3%,60.6%,67.7%
非洲象,51.0%,-,65.6%,57.3%,65.8%,54.2%,64.2%,56.8%,50.6%,54.0%,63.5%,65.5%,53.9%,52.5%,59.6%,63.5%
貓頭鷹,34.7%,34.4%,-,41.0%,49.0%,38.0%,47.7%,39.4%,34.1%,35.9%,49.4%,50.0%,37.4%,38.6%,44.0%,44.5%
獵豹,41.1%,42.7%,59.0%,-,59.1%,46.6%,57.8%,47.9%,42.2%,44.4%,57.2%,58.4%,45.8%,46.3%,53.2%,54.8%
穿山甲,34.6%,34.2%,51.0%,40.9%,-,37.9%,47.6%,38.3%,33.2%,36.8%,49.6%,50.0%,37.6%,38.4%,43.6%,44.0%
海豚,46.2%,45.8%,61.9%,53.4%,62.1%,-,60.9%,53.3%,46.7%,48.8%,60.4%,63.5%,49.9%,50.5%,55.6%,60.5%
遊隼,33.4%,35.8%,52.3%,42.2%,52.4%,39.1%,-,40.1%,33.7%,36.8%,48.7%,51.4%,38.7%,37.1%,45.3%,44.7%
科摩多龍,40.9%,43.2%,60.6%,52.1%,61.7%,46.7%,59.9%,-,42.1%,45.2%,58.8%,60.7%,46.0%,47.1%,53.9%,57.3%
大猩猩,49.5%,49.4%,65.9%,57.8%,66.8%,53.3%,66.3%,57.9%,-,54.2%,64.9%,67.7%,53.4%,54.2%,60.5%,65.0%
蜜獾,45.7%,46.0%,64.1%,55.6%,63.3%,51.2%,63.2%,54.8%,45.8%,-,61.7%,63.8%,50.4%,52.3%,57.4%,62.5%
加拉巴哥象龜,34.6%,36.5%,50.6%,42.8%,50.4%,39.6%,51.3%,41.2%,35.1%,38.3%,-,50.0%,39.0%,40.4%,45.3%,47.4%
黑斑羚,33.5%,34.6%,50.0%,41.6%,50.0%,36.5%,48.6%,39.3%,32.3%,36.2%,50.0%,-,36.7%,38.5%,42.7%,44.5%
蘇門答臘虎,46.3%,46.1%,62.6%,54.2%,62.4%,50.2%,61.3%,54.0%,46.6%,49.6%,61.0%,63.3%,-,51.1%,56.4%,60.8%
灣鱷,44.7%,47.5%,61.4%,53.7%,61.6%,49.5%,62.9%,52.9%,45.8%,47.7%,59.6%,61.5%,48.9%,-,54.8%,58.5%
北極狐,39.4%,40.4%,56.0%,46.8%,56.4%,44.4%,54.7%,46.1%,39.5%,42.6%,54.7%,57.3%,43.6%,45.2%,-,51.5%
紅袋鼠,32.4%,36.5%,55.5%,45.2%,56.0%,39.5%,55.3%,42.7%,35.0%,37.5%,52.6%,55.5%,39.2%,41.5%,48.5%,-
