,非洲獅,非洲象,大猩猩,灣鱷,蜜獾,蘇門答臘虎,海豚,科摩多龍,獵豹,北極狐,紅袋鼠,遊隼,黑斑羚,貓頭鷹,穿山甲,加拉巴哥象龜,鬣狗,美洲野牛,山豬,犛牛,麋鹿,駱駝,非洲野犬,疣豬,水鹿,長臂猿,食蟻獸,豪豬,黃鼠狼,鴨嘴獸,大耳狐,狐獴,火雞,樹懶,藍鯨
非洲獅,-,51.6%,52.8%,53.7%,57.0%,59.7%,63.4%,65.0%,65.5%,69.1%,76.3%,74.3%,79.9%,83.3%,82.3%,83.2%,53.9%,53.1%,56.9%,60.6%,65.2%,70.2%,72.2%,78.4%,75.9%,72.8%,83.9%,81.3%,83.5%,87.1%,86.6%,84.5%,94.3%,93.2%,47.5%
非洲象,48.4%,-,49.5%,53.5%,52.9%,54.9%,59.8%,60.5%,62.5%,66.0%,70.0%,70.7%,74.1%,77.6%,76.9%,78.5%,49.2%,52.5%,51.2%,56.9%,59.2%,65.8%,66.8%,71.7%,69.6%,68.0%,79.0%,76.0%,77.5%,80.6%,80.9%,79.2%,87.6%,87.8%,46.4%
大猩猩,47.2%,50.5%,-,50.2%,53.0%,54.9%,62.2%,60.0%,64.0%,65.8%,71.2%,72.3%,77.4%,81.4%,80.0%,81.1%,51.4%,50.5%,57.2%,58.0%,62.3%,68.2%,70.2%,70.2%,70.4%,68.5%,81.7%,79.0%,81.1%,86.6%,87.2%,82.9%,94.6%,93.5%,47.3%
灣鱷,46.3%,46.5%,49.8%,-,49.8%,52.5%,57.9%,58.1%,59.6%,62.5%,67.9%,68.5%,72.0%,75.9%,73.1%,76.2%,47.3%,49.2%,48.4%,54.7%,58.6%,63.3%,66.4%,71.3%,67.2%,66.8%,77.9%,73.8%,76.9%,80.1%,78.8%,78.6%,85.3%,86.2%,43.1%
蜜獾,43.0%,47.1%,47.0%,50.2%,-,51.3%,57.3%,58.8%,60.9%,65.5%,72.0%,72.0%,78.5%,81.3%,79.9%,81.6%,45.3%,46.3%,49.4%,54.9%,58.6%,66.1%,68.0%,75.5%,71.0%,67.9%,83.1%,80.6%,80.7%,85.3%,84.7%,81.7%,94.0%,92.4%,41.8%
蘇門答臘虎,40.3%,45.1%,45.1%,47.5%,48.7%,-,57.4%,55.1%,60.5%,63.4%,68.1%,69.5%,75.4%,78.5%,78.6%,79.6%,44.6%,45.7%,50.4%,53.4%,56.7%,63.4%,66.5%,68.8%,67.2%,66.2%,79.9%,77.3%,79.2%,84.0%,84.9%,80.3%,92.4%,91.9%,42.0%
海豚,36.6%,40.2%,37.8%,42.1%,42.7%,42.6%,-,50.0%,53.9%,57.8%,60.4%,66.4%,73.7%,72.3%,74.0%,76.4%,38.9%,40.7%,41.8%,46.8%,47.9%,56.7%,58.2%,61.6%,60.3%,59.9%,72.7%,74.2%,73.2%,74.7%,76.7%,75.4%,90.3%,87.8%,37.2%
科摩多龍,35.0%,39.5%,40.0%,41.9%,41.2%,44.9%,50.0%,-,54.5%,56.8%,62.6%,67.0%,72.1%,74.6%,73.8%,75.5%,38.1%,40.5%,41.4%,46.6%,50.3%,59.2%,60.7%,64.2%,62.2%,60.1%,75.9%,72.3%,75.6%,79.7%,79.7%,77.5%,90.3%,88.5%,36.5%
獵豹,34.5%,37.5%,36.0%,40.4%,39.1%,39.5%,46.1%,45.5%,-,53.1%,55.1%,61.2%,67.1%,66.6%,72.4%,74.8%,36.4%,37.5%,38.0%,44.1%,45.6%,51.9%,54.6%,53.9%,55.5%,54.9%,66.5%,70.2%,69.0%,69.6%,72.3%,71.1%,85.7%,83.7%,34.9%
北極狐,30.9%,34.1%,34.2%,37.5%,34.6%,36.6%,42.2%,43.2%,46.9%,-,54.1%,61.2%,66.3%,66.8%,68.9%,71.9%,31.8%,33.1%,31.6%,39.6%,42.3%,50.5%,52.7%,55.2%,53.0%,52.5%,68.3%,68.7%,68.9%,71.3%,71.2%,71.6%,86.5%,84.1%,31.8%
紅袋鼠,23.7%,30.0%,28.8%,32.1%,28.0%,31.9%,39.6%,37.4%,44.9%,45.9%,-,60.4%,66.2%,67.5%,68.8%,70.1%,25.9%,28.4%,26.1%,34.6%,37.8%,46.9%,50.9%,50.3%,50.2%,50.0%,69.8%,67.0%,68.6%,74.1%,73.6%,72.1%,90.2%,87.2%,27.7%
遊隼,25.7%,29.3%,27.7%,31.5%,28.0%,30.5%,33.6%,33.0%,38.8%,38.8%,39.6%,-,54.9%,52.7%,61.9%,64.8%,25.4%,27.0%,26.7%,33.0%,32.6%,38.7%,41.8%,40.4%,40.4%,42.2%,51.8%,58.9%,57.6%,56.4%,58.7%,60.2%,72.8%,72.3%,26.5%
黑斑羚,20.1%,25.9%,22.6%,28.0%,21.5%,24.6%,26.3%,27.9%,32.9%,33.7%,33.8%,45.1%,-,46.5%,60.6%,65.2%,18.5%,21.8%,16.4%,27.6%,24.1%,31.7%,35.1%,36.9%,33.9%,38.3%,45.0%,56.4%,52.2%,48.9%,54.5%,56.3%,69.7%,69.0%,21.6%
