Rank,Animal,Total Stats,Win Rate
1,非洲獅,30,71.12%
2,鬣狗,29,69.70%
3,藍鯨,31,69.48%
4,大猩猩,30,68.59%
5,山豬,28,67.70%
6,美洲野牛,29,67.68%
7,蜜獾,28,66.86%
8,非洲象,30,66.52%
9,蘇門答臘虎,28,64.93%
10,灣鱷,29,64.43%
11,犛牛,27,61.77%
12,麋鹿,26,60.12%
13,科摩多龍,26,59.66%
14,海豚,26,58.87%
15,獵豹,25,54.83%
16,駱駝,24,53.30%
17,北極狐,24,52.77%
18,非洲野犬,23,50.20%
19,紅袋鼠,23,50.19%
20,水鹿,23,50.16%
21,疣豬,23,49.81%
22,長臂猿,23,49.60%
23,遊隼,21,42.77%
24,貓頭鷹,19,37.48%
25,黑斑羚,19,37.43%
26,食蟻獸,19,37.01%
27,黃鼠狼,18,35.03%
28,豪豬,18,34.76%
29,鴨嘴獸,18,33.73%
30,穿山甲,17,32.14%
31,狐獴,17,32.07%
32,大耳狐,17,31.54%
33,加拉巴哥象龜,16,29.44%
34,樹懶,13,19.64%
35,火雞,13,18.65%
