Rank,Animal,Total Stats,Champion Count,Champion Rate
1,非洲獅,30,10459,10.46%
2,藍鯨,31,10267,10.27%
3,鬣狗,29,8942,8.94%
4,大猩猩,30,8395,8.39%
5,美洲野牛,29,7838,7.84%
6,非洲象,30,7750,7.75%
7,山豬,28,6672,6.67%
8,蜜獾,28,6619,6.62%
9,灣鱷,29,6262,6.26%
10,蘇門答臘虎,28,5913,5.91%
11,科摩多龍,26,3308,3.31%
12,麋鹿,26,3297,3.30%
13,海豚,26,3166,3.17%
14,獵豹,25,2145,2.15%
15,北極狐,24,1555,1.55%
16,駱駝,24,1507,1.51%
17,非洲野犬,23,1276,1.28%
18,長臂猿,23,1044,1.04%
19,紅袋鼠,23,927,0.93%
20,疣豬,23,832,0.83%
21,遊隼,21,552,0.55%
22,黑斑羚,19,209,0.21%
23,貓頭鷹,19,204,0.20%
24,豪豬,18,178,0.18%
25,黃鼠狼,18,159,0.16%
26,食蟻獸,19,146,0.15%
27,穿山甲,17,145,0.14%
28,鴨嘴獸,18,89,0.09%
29,狐獴,17,74,0.07%
30,大耳狐,17,62,0.06%
31,樹懶,13,5,0.01%
32,火雞,13,3,0.00%
