Rank,Animal,Total Stats,Win Rate
1,非洲獅,30,77.24%
2,鬣狗,29,73.48%
3,山豬,28,72.69%
4,藍鯨,31,72.40%
5,美洲野牛,29,72.39%
6,大猩猩,30,71.07%
7,非洲象,30,68.86%
8,蜜獾,28,68.42%
9,蘇門答臘虎,28,66.38%
10,灣鱷,29,65.33%
11,海豚,26,64.17%
12,麋鹿,26,61.91%
13,犛牛,27,61.80%
14,科摩多龍,26,59.14%
15,獵豹,25,59.13%
16,北極狐,24,56.39%
17,駱駝,24,52.83%
18,長臂猿,23,51.02%
19,非洲野犬,23,50.72%
20,水鹿,23,47.87%
21,紅袋鼠,23,47.59%
22,疣豬,23,47.21%
23,遊隼,21,43.80%
24,黑斑羚,19,35.93%
25,貓頭鷹,19,35.43%
26,食蟻獸,19,32.10%
27,豪豬,18,31.59%
28,鴨嘴獸,18,31.43%
29,黃鼠狼,18,31.43%
30,穿山甲,17,30.03%
31,狐獴,17,28.17%
32,大耳狐,17,27.64%
33,加拉巴哥象龜,16,26.77%
34,樹懶,13,15.70%
35,火雞,13,11.94%
