,非洲獅,非洲象,大猩猩,灣鱷,蜜獾,蘇門答臘虎,海豚,科摩多龍,獵豹,北極狐,紅袋鼠,遊隼,黑斑羚,貓頭鷹,穿山甲,加拉巴哥象龜,鬣狗,美洲野牛,山豬,犛牛,麋鹿,駱駝,非洲野犬,疣豬,水鹿,長臂猿,食蟻獸,豪豬,黃鼠狼,鴨嘴獸,大耳狐,狐獴,火雞,樹懶,藍鯨
非洲獅,-,58.4%,51.2%,59.0%,61.1%,100.0%,58.8%,74.6%,73.4%,59.9%,92.7%,83.3%,79.4%,91.0%,75.2%,79.7%,70.9%,55.2%,64.0%,69.2%,77.1%,77.4%,78.3%,94.3%,87.0%,76.6%,91.5%,85.7%,91.1%,100.0%,87.3%,84.6%,100.0%,91.8%,46.3%
非洲象,41.6%,-,45.4%,53.0%,58.8%,55.5%,63.1%,64.2%,61.3%,68.8%,74.6%,68.9%,72.7%,75.0%,85.0%,91.4%,50.3%,49.7%,56.9%,52.0%,64.8%,73.9%,70.8%,78.5%,74.8%,77.6%,77.5%,100.0%,72.6%,78.1%,81.1%,75.2%,86.0%,100.0%,42.3%
大猩猩,48.8%,54.6%,-,48.5%,66.0%,66.6%,69.2%,64.5%,65.1%,73.8%,70.9%,71.2%,80.6%,84.9%,80.9%,80.0%,56.1%,33.4%,62.5%,46.6%,57.1%,71.2%,75.2%,79.9%,76.7%,79.8%,84.7%,79.3%,77.9%,86.2%,90.8%,91.3%,94.1%,94.1%,54.2%
灣鱷,41.0%,47.0%,51.5%,-,47.4%,48.6%,56.6%,73.8%,61.1%,64.9%,75.3%,68.7%,70.2%,77.3%,72.7%,78.7%,42.6%,40.7%,54.7%,43.1%,65.0%,62.5%,74.1%,77.7%,70.4%,68.6%,100.0%,75.2%,76.9%,77.8%,78.5%,76.0%,77.9%,94.9%,29.8%
蜜獾,38.9%,41.2%,34.0%,52.6%,-,51.5%,63.7%,71.1%,67.4%,67.8%,68.6%,73.0%,78.2%,80.0%,90.3%,91.2%,38.0%,50.4%,47.1%,64.8%,55.2%,70.6%,66.5%,71.9%,76.2%,68.2%,93.6%,91.7%,80.0%,93.9%,85.5%,77.9%,93.8%,100.0%,31.1%
蘇門答臘虎,0.0%,44.5%,33.4%,51.4%,48.5%,-,55.0%,73.0%,68.5%,59.5%,83.9%,72.8%,74.3%,79.4%,75.7%,75.5%,38.2%,41.2%,50.1%,60.5%,58.8%,65.6%,74.9%,92.3%,77.9%,68.4%,91.9%,80.2%,84.8%,100.0%,77.6%,74.3%,94.7%,91.8%,38.4%
海豚,41.2%,36.9%,30.8%,43.4%,36.3%,45.0%,-,51.8%,54.4%,91.6%,55.5%,75.0%,90.2%,91.8%,78.8%,80.7%,42.5%,39.5%,37.8%,49.0%,44.8%,54.8%,71.0%,64.2%,48.0%,91.3%,63.7%,74.7%,79.8%,85.4%,100.0%,100.0%,100.0%,90.6%,41.3%
科摩多龍,25.4%,35.8%,35.5%,26.2%,28.9%,27.0%,48.2%,-,66.8%,56.7%,67.1%,62.8%,73.2%,77.3%,72.9%,79.8%,23.4%,34.3%,28.5%,41.7%,55.5%,55.2%,62.6%,73.5%,70.9%,62.4%,100.0%,80.2%,77.0%,83.8%,77.9%,77.7%,91.1%,100.0%,31.3%
獵豹,26.6%,38.7%,34.9%,38.9%,32.6%,31.5%,45.6%,33.1%,-,55.5%,60.9%,93.6%,89.7%,82.6%,72.8%,73.9%,30.7%,41.6%,29.4%,49.7%,43.3%,51.9%,70.8%,51.3%,62.4%,65.9%,66.5%,74.4%,100.0%,77.1%,85.0%,84.2%,100.0%,80.3%,35.0%
北極狐,40.1%,31.2%,26.2%,35.1%,32.2%,40.5%,8.4%,43.3%,44.5%,-,53.9%,66.2%,82.1%,91.0%,75.7%,77.4%,39.1%,33.4%,25.5%,41.3%,37.3%,50.9%,65.6%,58.1%,48.4%,55.0%,58.3%,72.4%,80.3%,80.5%,100.0%,100.0%,100.0%,84.0%,39.1%
紅袋鼠,7.3%,25.4%,29.1%,24.7%,31.4%,16.1%,44.5%,32.9%,39.1%,46.1%,-,61.9%,71.0%,73.7%,68.9%,72.1%,6.7%,16.5%,3.9%,30.0%,8.8%,39.0%,50.2%,44.9%,45.4%,57.0%,83.2%,72.0%,73.9%,78.1%,83.7%,73.5%,94.0%,90.5%,22.6%
遊隼,16.7%,31.1%,28.8%,31.3%,27.0%,27.2%,25.0%,37.2%,6.4%,33.8%,38.1%,-,56.1%,59.3%,60.9%,64.6%,20.7%,40.1%,21.8%,40.2%,34.9%,41.7%,33.8%,39.9%,43.8%,35.2%,51.1%,71.0%,89.0%,55.2%,67.4%,72.8%,90.0%,66.9%,30.1%
