,非洲獅,非洲象,大猩猩,灣鱷,蜜獾,蘇門答臘虎,海豚,科摩多龍,獵豹,北極狐,紅袋鼠,遊隼,黑斑羚,貓頭鷹,穿山甲,加拉巴哥象龜,非洲野犬,鬣狗,疣豬,山豬,駱駝,豪豬,火雞,美洲野牛,犛牛,大耳狐,水鹿,麋鹿,狐獴,黃鼠狼,長臂猿,食蟻獸,鴨嘴獸,樹懶,藍鯨,大白鯊,河馬,北極熊,犀牛,花豹,灰狼,狼獾,麝牛,長頸鹿,蟒蛇,人,鵜鶘,丹頂鶴
非洲獅,-,51.3%,52.3%,53.2%,56.9%,58.1%,63.3%,64.5%,65.4%,69.0%,75.2%,74.7%,80.7%,82.4%,82.2%,83.2%,71.7%,53.3%,78.0%,58.8%,71.5%,82.0%,93.7%,53.9%,60.1%,87.0%,75.4%,65.1%,84.9%,83.6%,71.9%,84.9%,87.1%,93.1%,48.2%,43.8%,46.5%,46.6%,47.0%,52.8%,53.5%,58.3%,61.6%,64.6%,67.8%,78.2%,88.1%,86.7%
非洲象,48.7%,-,51.1%,53.5%,52.9%,54.7%,60.3%,60.1%,61.3%,65.9%,69.9%,70.3%,74.2%,78.1%,76.3%,77.8%,67.8%,48.8%,72.1%,51.6%,65.5%,76.2%,87.6%,52.0%,57.1%,80.8%,69.5%,60.1%,79.0%,77.5%,68.5%,77.8%,80.6%,88.0%,47.8%,44.0%,47.1%,47.1%,46.2%,52.1%,51.6%,53.6%,57.7%,60.2%,64.4%,73.2%,80.6%,81.8%
大猩猩,47.7%,48.9%,-,50.6%,54.4%,55.5%,61.6%,59.7%,63.7%,64.3%,70.2%,72.8%,77.1%,81.7%,80.1%,81.9%,70.2%,51.5%,69.7%,57.0%,67.5%,78.1%,94.3%,51.0%,57.3%,86.6%,70.1%,61.1%,83.2%,80.8%,68.6%,81.9%,85.9%,92.2%,46.5%,43.4%,46.9%,43.5%,47.4%,52.0%,51.7%,53.5%,56.5%,60.5%,64.1%,76.9%,86.9%,86.5%
灣鱷,46.8%,46.5%,49.4%,-,50.5%,53.6%,57.3%,57.7%,59.3%,63.6%,68.3%,69.0%,71.2%,76.0%,74.1%,76.0%,67.1%,47.9%,72.0%,48.1%,64.4%,73.8%,85.9%,49.5%,55.6%,79.0%,68.2%,56.5%,78.6%,78.0%,65.8%,77.5%,80.1%,86.9%,43.7%,41.6%,45.4%,43.4%,42.8%,48.7%,48.9%,50.0%,54.3%,57.6%,61.3%,70.2%,81.2%,79.4%
蜜獾,43.1%,47.1%,45.6%,49.5%,-,51.4%,58.6%,58.8%,61.2%,65.8%,72.0%,71.1%,78.2%,81.2%,80.3%,80.6%,67.3%,45.2%,75.9%,49.2%,65.8%,80.1%,94.0%,47.2%,55.0%,83.6%,72.0%,59.1%,82.4%,80.8%,68.2%,82.7%,84.4%,92.6%,41.4%,36.9%,41.8%,38.4%,41.9%,46.1%,46.1%,51.3%,56.6%,58.1%,63.4%,76.0%,86.7%,86.1%
蘇門答臘虎,41.9%,45.3%,44.5%,46.4%,48.6%,-,56.8%,56.4%,60.5%,63.0%,69.0%,69.8%,75.4%,79.5%,79.1%,78.8%,65.9%,43.9%,68.2%,49.7%,63.5%,78.3%,92.5%,45.2%,53.6%,84.8%,67.2%,56.6%,80.7%,78.9%,64.9%,80.0%,84.0%,92.1%,41.3%,37.1%,42.3%,38.5%,41.9%,46.9%,45.7%,48.8%,53.4%,55.0%,61.5%,75.4%,84.8%,84.7%
海豚,36.7%,39.7%,38.4%,42.7%,41.4%,43.2%,-,49.1%,53.6%,56.8%,60.2%,65.2%,74.1%,72.2%,75.0%,76.1%,57.6%,38.0%,60.3%,41.2%,56.3%,74.9%,90.4%,40.5%,46.7%,76.1%,59.5%,49.2%,75.4%,73.3%,59.8%,73.4%,76.3%,87.4%,36.6%,31.1%,35.7%,35.4%,36.7%,40.7%,38.1%,41.5%,44.3%,49.0%,55.8%,70.3%,80.6%,78.6%
科摩多龍,35.5%,39.9%,40.3%,42.3%,41.2%,43.6%,50.9%,-,54.6%,56.9%,62.2%,66.0%,72.8%,75.1%,73.8%,75.3%,61.8%,38.4%,64.2%,40.8%,58.5%,73.2%,90.7%,39.9%,46.6%,79.8%,62.7%,50.5%,78.7%,75.6%,60.3%,76.2%,80.1%,89.5%,36.4%,31.5%,36.2%,30.7%,35.3%,39.6%,39.1%,41.2%,46.4%,50.5%,55.3%,69.2%,83.2%,81.0%
獵豹,34.6%,38.7%,36.3%,40.7%,38.8%,39.5%,46.4%,45.4%,-,52.5%,55.3%,62.0%,67.2%,66.9%,72.0%,74.6%,54.1%,36.0%,54.4%,39.6%,51.9%,70.1%,85.2%,38.1%,43.2%,72.4%,55.8%,46.6%,72.2%,69.6%,53.9%,67.3%,70.5%,84.7%,34.7%,30.3%,33.2%,32.8%,34.5%,38.1%,36.7%,39.0%,41.7%,46.1%,51.8%,66.4%,72.6%,73.0%
北極狐,31.0%,34.1%,35.7%,36.4%,34.2%,37.0%,43.2%,43.1%,47.5%,-,53.5%,61.4%,66.3%,65.9%,69.8%,72.6%,53.5%,31.8%,55.0%,32.4%,50.4%,68.2%,86.2%,34.8%,40.1%,71.8%,53.5%,43.2%,72.0%,68.3%,53.0%,68.7%,70.9%,83.9%,31.6%,26.3%,30.3%,29.6%,31.4%,33.9%,32.0%,34.4%,39.2%,42.9%,50.4%,65.3%,75.6%,74.3%
