Rank,Animal,Total Stats,Champion Count,Champion Rate
1,虎鯨,38,39623,39.62%
2,大白鯊,32,7041,7.04%
3,北極熊,31,4877,4.88%
4,河馬,31,4668,4.67%
5,犀牛,31,4414,4.41%
6,藍鯨,31,4231,4.23%
7,非洲獅,30,3591,3.59%
8,大猩猩,30,3532,3.53%
9,非洲象,30,3323,3.32%
10,鬣狗,29,2559,2.56%
11,灰狼,29,2530,2.53%
12,花豹,29,2450,2.45%
13,美洲野牛,29,2415,2.42%
14,灣鱷,29,2389,2.39%
15,山豬,28,1747,1.75%
16,狼獾,28,1502,1.50%
17,蘇門答臘虎,28,1484,1.48%
18,蜜獾,28,1335,1.33%
19,犛牛,27,934,0.93%
20,麝牛,27,920,0.92%
21,海豚,26,606,0.61%
22,科摩多龍,26,561,0.56%
23,長頸鹿,26,539,0.54%
24,麋鹿,26,520,0.52%
25,獵豹,25,377,0.38%
26,蟒蛇,24,292,0.29%
27,北極狐,24,213,0.21%
28,駱駝,24,179,0.18%
29,鴕鳥,24,164,0.16%
30,長臂猿,23,131,0.13%
31,非洲野犬,23,125,0.12%
32,白頭海鵰,23,123,0.12%
33,水鹿,23,86,0.09%
34,遊隼,21,73,0.07%
35,雪豹,23,73,0.07%
36,紅袋鼠,23,66,0.07%
37,電鰻,22,55,0.06%
38,雪鴞,21,45,0.04%
39,疣豬,23,34,0.03%
40,人,19,28,0.03%
41,乳牛,21,22,0.02%
42,穿山甲,17,15,0.01%
43,黑斑羚,19,14,0.01%
44,擬態章魚,20,14,0.01%
45,海獺,20,13,0.01%
46,浣熊,19,11,0.01%
47,豪豬,18,10,0.01%
48,加拉巴哥象龜,16,9,0.01%
49,狐獴,17,8,0.01%
50,黃鼠狼,18,7,0.01%
51,食蟻獸,19,5,0.01%
52,蠍子,18,5,0.01%
53,貓頭鷹,19,4,0.00%
54,犰狳,16,3,0.00%
55,大耳狐,17,2,0.00%
56,鴨嘴獸,18,1,0.00%
57,丹頂鶴,17,1,0.00%
58,皇帝企鵝,17,1,0.00%
59,火雞,13,0,0.00%
60,樹懶,13,0,0.00%
61,鵜鶘,17,0,0.00%
62,孔雀,14,0,0.00%
63,箭毒蛙,14,0,0.00%
64,蘭花螳螂,11,0,0.00%
