Rank,Animal,Total Stats,Win Rate
1,虎鯨,38,90.90%
2,大白鯊,32,78.17%
3,北極熊,31,76.03%
4,非洲獅,30,73.86%
5,河馬,31,73.66%
6,大猩猩,30,72.65%
7,鬣狗,29,72.58%
8,灰狼,29,72.06%
9,犀牛,31,71.64%
10,藍鯨,31,71.62%
11,山豬,28,70.92%
12,花豹,29,70.69%
13,美洲野牛,29,70.11%
14,非洲象,30,69.45%
15,狼獾,28,69.06%
16,蜜獾,28,68.46%
17,蘇門答臘虎,28,67.27%
18,灣鱷,29,66.92%
19,麝牛,27,64.31%
20,犛牛,27,63.03%
21,麋鹿,26,62.18%
22,長頸鹿,26,61.55%
23,科摩多龍,26,60.94%
24,海豚,26,60.33%
25,獵豹,25,55.72%
26,駱駝,24,54.49%
27,鴕鳥,24,53.99%
28,北極狐,24,53.73%
29,蟒蛇,24,52.23%
30,白頭海鵰,23,50.81%
31,非洲野犬,23,50.79%
32,紅袋鼠,23,50.78%
33,水鹿,23,50.56%
34,雪豹,23,50.53%
35,長臂猿,23,50.29%
36,疣豬,23,50.25%
37,電鰻,22,46.48%
38,遊隼,21,44.22%
39,雪鴞,21,43.71%
40,乳牛,21,43.20%
41,海獺,20,39.68%
42,擬態章魚,20,39.59%
43,人,19,36.93%
44,貓頭鷹,19,36.61%
45,黑斑羚,19,36.36%
46,浣熊,19,36.32%
47,食蟻獸,19,36.31%
48,蠍子,18,34.02%
49,黃鼠狼,18,33.87%
50,豪豬,18,32.85%
51,鴨嘴獸,18,32.17%
52,狐獴,17,31.36%
53,穿山甲,17,31.23%
54,大耳狐,17,30.33%
55,丹頂鶴,17,29.66%
56,鵜鶘,17,29.27%
57,皇帝企鵝,17,29.18%
58,加拉巴哥象龜,16,28.65%
59,犰狳,16,27.25%
60,箭毒蛙,14,22.30%
61,孔雀,14,19.57%
62,樹懶,13,17.81%
63,火雞,13,16.54%
64,蘭花螳螂,11,11.97%
