,非洲獅,非洲象,大猩猩,灣鱷,蜜獾,蘇門答臘虎,海豚,科摩多龍,獵豹,北極狐,紅袋鼠,遊隼,黑斑羚,貓頭鷹,穿山甲,加拉巴哥象龜,非洲野犬,鬣狗,疣豬,山豬,駱駝,豪豬,火雞,美洲野牛,犛牛,大耳狐,水鹿,麋鹿,狐獴,黃鼠狼,長臂猿,食蟻獸,鴨嘴獸,樹懶,藍鯨,大白鯊,河馬,北極熊,犀牛,花豹,灰狼,狼獾,麝牛,長頸鹿,蟒蛇,人,鵜鶘,丹頂鶴,虎鯨,鴕鳥,雪豹,白頭海鵰,電鰻,雪鴞,乳牛,擬態章魚,海獺,浣熊,蠍子,皇帝企鵝,犰狳,孔雀,箭毒蛙,蘭花螳螂
非洲獅,-,49.2%,49.1%,52.7%,60.2%,59.0%,66.5%,67.5%,69.4%,73.8%,81.4%,78.3%,84.5%,89.5%,83.2%,84.0%,76.8%,54.9%,84.3%,59.5%,74.9%,84.9%,98.1%,53.0%,63.1%,91.1%,81.5%,67.3%,87.9%,87.4%,75.5%,91.4%,93.3%,95.8%,46.9%,41.5%,45.6%,46.9%,46.2%,53.3%,55.1%,60.7%,65.7%,69.1%,69.7%,81.2%,95.7%,93.3%,17.7%,74.4%,82.3%,76.5%,83.4%,81.6%,83.3%,83.1%,87.1%,86.8%,86.4%,95.5%,89.8%,97.5%,90.6%,97.6%
非洲象,50.8%,-,49.6%,52.9%,57.0%,56.7%,62.8%,62.7%,63.8%,67.8%,74.1%,74.0%,79.1%,81.0%,80.2%,81.5%,70.9%,52.2%,77.9%,55.2%,68.1%,80.8%,91.2%,53.5%,60.0%,84.6%,73.4%,62.5%,81.7%,81.2%,70.5%,81.6%,83.6%,90.8%,47.3%,45.2%,46.4%,50.4%,47.2%,52.8%,52.9%,58.0%,59.3%,63.1%,68.0%,75.6%,85.5%,85.1%,27.4%,69.2%,74.3%,71.0%,73.4%,75.9%,76.0%,76.4%,77.6%,80.3%,80.9%,85.3%,84.9%,90.1%,88.1%,94.1%
大猩猩,50.9%,50.4%,-,52.6%,59.2%,59.7%,66.9%,65.4%,68.0%,70.8%,77.3%,76.3%,83.5%,87.1%,83.5%,82.9%,73.8%,55.3%,77.6%,60.6%,72.5%,83.1%,97.7%,54.8%,62.4%,89.6%,76.8%,66.4%,86.9%,86.5%,73.3%,87.7%,91.9%,94.8%,46.8%,42.6%,47.9%,45.2%,47.4%,53.1%,54.2%,58.9%,62.7%,66.4%,68.8%,80.7%,93.5%,91.3%,20.6%,72.4%,78.0%,75.2%,82.0%,79.2%,80.9%,82.4%,85.0%,85.3%,85.2%,93.7%,88.1%,96.6%,90.0%,96.7%
灣鱷,47.3%,47.1%,47.4%,-,54.0%,54.4%,59.5%,59.4%,62.6%,66.3%,70.6%,70.4%,75.9%,79.1%,79.0%,80.2%,67.7%,49.2%,74.3%,51.6%,66.6%,78.8%,90.3%,50.4%,56.3%,82.7%,70.5%,58.9%,80.0%,79.8%,67.5%,79.7%,80.8%,89.3%,44.7%,41.8%,44.1%,45.7%,44.3%,51.2%,49.9%,54.4%,57.6%,60.0%,65.6%,74.9%,83.0%,83.0%,24.8%,64.9%,71.6%,68.8%,71.5%,73.4%,73.2%,73.6%,75.1%,77.4%,79.1%,83.2%,83.5%,88.2%,86.5%,93.4%
蜜獾,39.8%,43.0%,40.8%,46.0%,-,50.9%,59.3%,59.7%,64.4%,67.5%,78.1%,73.6%,81.1%,86.8%,80.5%,80.8%,70.9%,40.4%,82.6%,46.0%,68.6%,83.1%,97.5%,44.7%,55.3%,89.3%,77.0%,59.1%,85.9%,84.6%,70.5%,90.2%,92.7%,95.2%,39.1%,31.9%,37.5%,35.8%,39.7%,42.7%,42.0%,49.6%,55.7%,60.5%,64.5%,77.5%,94.7%,92.0%,11.3%,67.2%,79.0%,70.6%,79.4%,77.4%,79.7%,80.1%,83.8%,84.7%,84.3%,94.7%,88.1%,97.0%,89.2%,97.2%
蘇門答臘虎,41.0%,43.3%,40.3%,45.6%,49.1%,-,59.1%,57.8%,62.2%,65.4%,73.6%,72.7%,80.5%,84.5%,79.2%,79.3%,68.2%,42.9%,73.4%,47.9%,66.5%,81.0%,97.3%,45.9%,55.2%,87.6%,71.7%,57.5%,84.5%,83.9%,67.7%,86.1%,91.2%,94.1%,40.6%,33.8%,39.1%,36.0%,41.2%,43.8%,43.7%,49.2%,55.3%,58.1%,63.5%,77.9%,92.2%,89.3%,13.7%,65.9%,73.0%,68.9%,77.6%,75.5%,76.9%,79.2%,82.8%,82.2%,82.1%,92.7%,86.2%,96.4%,88.5%,96.4%
海豚,33.5%,37.2%,33.1%,40.5%,40.7%,40.9%,-,48.6%,54.6%,59.2%,62.1%,66.2%,76.6%,76.9%,76.5%,77.4%,59.6%,35.0%,63.2%,38.4%,56.5%,78.1%,94.2%,37.6%,46.6%,80.5%,62.4%,47.9%,78.1%,76.9%,62.4%,76.8%,81.5%,91.1%,34.7%,27.8%,33.6%,32.4%,36.2%,38.0%,36.8%,41.1%,45.3%,49.4%,57.5%,72.7%,85.1%,83.5%,11.9%,58.0%,62.8%,61.3%,66.9%,67.4%,69.0%,74.0%,73.8%,77.3%,74.7%,84.9%,81.7%,93.0%,84.3%,94.8%
科摩多龍,32.5%,37.3%,34.6%,40.6%,40.3%,42.2%,51.4%,-,55.4%,58.8%,64.2%,66.3%,76.5%,77.8%,76.3%,77.4%,62.7%,33.5%,67.6%,36.3%,59.2%,77.3%,95.4%,36.5%,47.4%,83.1%,65.1%,48.0%,79.2%,78.2%,62.0%,80.3%,85.8%,92.0%,34.2%,27.2%,32.1%,27.5%,34.1%,36.2%,33.7%,38.3%,45.9%,49.4%,57.7%,73.3%,87.6%,85.0%,9.4%,58.3%,65.6%,62.4%,69.4%,68.7%,71.2%,73.2%,76.4%,77.8%,78.0%,88.2%,83.0%,93.7%,85.4%,95.3%
獵豹,30.6%,36.2%,32.0%,37.4%,35.6%,37.8%,45.4%,44.6%,-,52.9%,54.4%,62.4%,71.5%,70.2%,73.4%,76.2%,55.6%,32.1%,52.6%,34.4%,50.8%,73.9%,91.0%,34.1%,41.7%,75.2%,54.9%,43.1%,73.7%,72.1%,56.4%,70.2%,75.9%,88.2%,32.1%,26.3%,31.2%,28.0%,31.9%,34.2%,33.5%,35.9%,40.2%,43.1%,52.8%,69.1%,78.9%,77.4%,12.5%,51.5%,54.0%,54.5%,60.2%,62.1%,63.5%,68.1%,68.5%,71.7%,71.8%,78.7%,79.2%,88.3%,81.9%,92.7%
北極狐,26.2%,32.2%,29.2%,33.7%,32.5%,34.6%,40.8%,41.2%,47.1%,-,52.4%,60.5%,71.4%,69.7%,72.6%,75.2%,52.9%,27.9%,54.9%,27.4%,49.5%,74.7%,92.0%,30.9%,38.4%,74.4%,53.0%,40.2%,72.0%,71.6%,53.7%,70.8%,74.2%,88.6%,30.1%,21.2%,26.6%,24.6%,29.7%,31.4%,27.6%,31.9%,37.2%,39.8%,51.3%,67.6%,78.9%,77.2%,8.1%,49.0%,53.4%,54.3%,56.8%,61.5%,62.9%,66.6%,66.3%,70.7%,71.5%,78.1%,79.9%,88.8%,81.9%,93.8%
紅袋鼠,18.6%,25.9%,22.7%,29.4%,21.9%,26.4%,37.9%,35.8%,45.6%,47.6%,-,57.9%,69.0%,70.0%,70.6%,72.2%,48.8%,17.2%,50.7%,14.8%,44.3%,72.6%,94.0%,24.3%,34.0%,77.2%,51.0%,31.7%,73.7%,72.2%,51.3%,72.7%,80.8%,89.6%,25.4%,14.8%,21.5%,16.1%,24.5%,23.2%,18.4%,19.5%,31.1%,33.4%,48.8%,66.5%,83.0%,80.3%,3.8%,47.0%,50.6%,50.4%,58.9%,59.8%,62.5%,66.0%,68.7%,71.7%,71.2%,83.6%,78.2%,91.6%,81.6%,94.3%
