======================================================================
   Animal Fight - Simulation v5 (64 Animals)
   新規則（骰 6 重骰＋條件加分）+ 64 隻標準單淘汰
======================================================================

=== 1v1 Win Rate Ranking ===

Rank   Animal         Total  Win Rate  
---------------------------------------------
1      虎鯨             33      82.17%
2      大白鯊            32      78.52%
3      北極熊            31      76.31%
4      非洲獅            30      74.12%
5      河馬             31      74.02%
6      大猩猩            30      72.91%
7      鬣狗             29      72.90%
8      灰狼             29      72.32%
9      犀牛             31      71.91%
10     藍鯨             31      71.84%
11     山豬             28      71.25%
12     花豹             29      71.01%
13     美洲野牛           29      70.40%
14     非洲象            30      69.68%
15     狼獾             28      69.22%
16     蜜獾             28      68.69%
17     蘇門答臘虎          28      67.48%
18     灣鱷             29      67.26%
19     麝牛             27      64.54%
20     犛牛             27      63.34%
21     麋鹿             26      62.39%
22     長頸鹿            26      61.74%
23     科摩多龍           26      61.09%
24     海豚             26      60.48%
25     獵豹             25      55.81%
26     駱駝             24      54.63%
27     鴕鳥             24      54.15%
28     北極狐            24      53.81%
29     蟒蛇             24      52.50%
30     白頭海鵰           23      50.99%
31     非洲野犬           23      50.77%
32     紅袋鼠            23      50.72%
33     雪豹             23      50.64%
34     水鹿             23      50.64%
35     長臂猿            23      50.52%
36     疣豬             23      50.39%
37     電鰻             22      46.64%
38     遊隼             21      44.21%
39     雪鴞             21      43.87%
40     乳牛             21      43.37%
41     擬態章魚           20      39.75%
42     海獺             20      39.72%
43     人              19      36.99%
44     貓頭鷹            19      36.72%
45     黑斑羚            19      36.59%
46     浣熊             19      36.38%
47     食蟻獸            19      36.12%
48     蠍子             18      34.12%
49     黃鼠狼            18      34.05%
50     豪豬             18      32.71%
51     鴨嘴獸            18      32.31%
52     穿山甲            17      31.32%
53     狐獴             17      31.25%
54     大耳狐            17      30.36%
55     丹頂鶴            17      29.75%
56     鵜鶘             17      29.22%
57     皇帝企鵝           17      29.18%
58     加拉巴哥象龜         16      28.60%
59     犰狳             16      27.32%
60     箭毒蛙            14      22.34%
61     孔雀             14      19.60%
62     樹懶             13      17.83%
63     火雞             13      16.52%
64     蘭花螳螂           11      12.00%

======================================================================
=== Top 4 Rate (進入四強機率) ===

Rank   Animal         Total  Count      Rate      
-------------------------------------------------------
1      虎鯨             33     33432       33.43%
2      大白鯊            32     26253       26.25%
3      北極熊            31     21657       21.66%
4      河馬             31     19953       19.95%
5      非洲獅            30     18422       18.42%
6      犀牛             31     18026       18.03%
7      藍鯨             31     17861       17.86%
8      大猩猩            30     17745       17.75%
9      鬣狗             29     16118       16.12%
10     灰狼             29     15831       15.83%
11     非洲象            30     15331       15.33%
12     花豹             29     14976       14.98%
13     美洲野牛           29     14328       14.33%
14     山豬             28     13482       13.48%
15     灣鱷             29     12853       12.85%
16     狼獾             28     11906       11.91%
17     蜜獾             28     11450       11.45%
18     蘇門答臘虎          28     11137       11.14%
19     麝牛             27     8317         8.32%
20     犛牛             27     8228         8.23%
21     麋鹿             26     6762         6.76%
22     長頸鹿            26     6512         6.51%
23     海豚             26     6455         6.46%
24     科摩多龍           26     6307         6.31%
25     獵豹             25     4443         4.44%
26     蟒蛇             24     3606         3.61%
27     北極狐            24     3510         3.51%
28     鴕鳥             24     3492         3.49%
29     駱駝             24     3383         3.38%
30     長臂猿            23     2608         2.61%
31     非洲野犬           23     2536         2.54%
32     白頭海鵰           23     2491         2.49%
33     水鹿             23     2149         2.15%
34     紅袋鼠            23     2029         2.03%
35     雪豹             23     1920         1.92%
36     疣豬             23     1749         1.75%
37     遊隼             21     1554         1.55%
38     電鰻             22     1333         1.33%
39     雪鴞             21     1326         1.33%
40     乳牛             21     1079         1.08%
41     擬態章魚           20     853          0.85%
42     人              19     787          0.79%
43     海獺             20     650          0.65%
44     黑斑羚            19     567          0.57%
45     浣熊             19     485          0.48%
46     貓頭鷹            19     465          0.46%
47     蠍子             18     446          0.45%
48     黃鼠狼            18     421          0.42%
49     穿山甲            17     403          0.40%
50     豪豬             18     360          0.36%
51     食蟻獸            19     342          0.34%
52     加拉巴哥象龜         16     318          0.32%
53     狐獴             17     283          0.28%
54     鴨嘴獸            18     207          0.21%
55     大耳狐            17     203          0.20%
56     犰狳             16     162          0.16%
57     丹頂鶴            17     150          0.15%
58     鵜鶘             17     117          0.12%
59     皇帝企鵝           17     112          0.11%
60     箭毒蛙            14     68           0.07%
61     孔雀             14     21           0.02%
62     樹懶             13     19           0.02%
63     火雞             13     7            0.01%
64     蘭花螳螂           11     4            0.00%

======================================================================
=== Champion Rate (冠軍機率) ===

Rank   Animal         Total  Wins       Rate      
-------------------------------------------------------
1      虎鯨             33     15165       15.17%
2      大白鯊            32     9631         9.63%
3      北極熊            31     6864         6.86%
4      河馬             31     6505         6.50%
5      犀牛             31     5618         5.62%
6      藍鯨             31     5528         5.53%
7      非洲獅            30     5062         5.06%
8      大猩猩            30     4995         5.00%
9      非洲象            30     4271         4.27%
10     鬣狗             29     3872         3.87%
11     灰狼             29     3770         3.77%
12     花豹             29     3675         3.67%
13     美洲野牛           29     3426         3.43%
14     灣鱷             29     3155         3.16%
15     山豬             28     2682         2.68%
16     狼獾             28     2205         2.21%
17     蘇門答臘虎          28     2165         2.17%
18     蜜獾             28     2132         2.13%
19     犛牛             27     1318         1.32%
20     麝牛             27     1259         1.26%
21     麋鹿             26     872          0.87%
22     海豚             26     855          0.85%
23     科摩多龍           26     838          0.84%
24     長頸鹿            26     835          0.83%
25     獵豹             25     492          0.49%
26     蟒蛇             24     399          0.40%
27     北極狐            24     325          0.33%
28     鴕鳥             24     324          0.32%
29     駱駝             24     301          0.30%
30     非洲野犬           23     206          0.21%
31     長臂猿            23     193          0.19%
32     白頭海鵰           23     173          0.17%
33     紅袋鼠            23     130          0.13%
34     水鹿             23     122          0.12%
35     遊隼             21     98           0.10%
36     雪豹             23     94           0.09%
37     疣豬             23     73           0.07%
38     雪鴞             21     73           0.07%
39     電鰻             22     62           0.06%
40     乳牛             21     43           0.04%
41     擬態章魚           20     32           0.03%
42     人              19     27           0.03%
43     黑斑羚            19     20           0.02%
44     海獺             20     15           0.01%
45     浣熊             19     15           0.01%
46     穿山甲            17     12           0.01%
47     加拉巴哥象龜         16     11           0.01%
48     食蟻獸            19     11           0.01%
49     豪豬             18     10           0.01%
50     黃鼠狼            18     10           0.01%
51     貓頭鷹            19     7            0.01%
52     蠍子             18     7            0.01%
53     狐獴             17     5            0.01%
54     丹頂鶴            17     5            0.01%
55     鴨嘴獸            18     3            0.00%
56     大耳狐            17     2            0.00%
57     犰狳             16     1            0.00%
58     箭毒蛙            14     1            0.00%
