Rank,Animal,Total Stats,Top4 Count,Top4 Rate
1,虎鯨,38,58931,58.93%
2,大白鯊,32,24333,24.33%
3,北極熊,31,20150,20.15%
4,河馬,31,18514,18.51%
5,犀牛,31,17274,17.27%
6,非洲獅,30,17047,17.05%
7,藍鯨,31,16830,16.83%
8,大猩猩,30,16463,16.46%
9,鬣狗,29,14856,14.86%
10,灰狼,29,14651,14.65%
11,非洲象,30,14524,14.52%
12,花豹,29,13712,13.71%
13,美洲野牛,29,13303,13.30%
14,山豬,28,12356,12.36%
15,灣鱷,29,12126,12.13%
16,狼獾,28,10742,10.74%
17,蜜獾,28,10542,10.54%
18,蘇門答臘虎,28,10302,10.30%
19,麝牛,27,7704,7.70%
20,犛牛,27,7630,7.63%
21,麋鹿,26,6296,6.30%
22,長頸鹿,26,6040,6.04%
23,科摩多龍,26,5872,5.87%
24,海豚,26,5837,5.84%
25,獵豹,25,4283,4.28%
26,蟒蛇,24,3387,3.39%
27,駱駝,24,3248,3.25%
28,鴕鳥,24,3180,3.18%
29,北極狐,24,3070,3.07%
30,長臂猿,23,2475,2.48%
31,非洲野犬,23,2389,2.39%
32,白頭海鵰,23,2309,2.31%
33,水鹿,23,1999,2.00%
34,紅袋鼠,23,1942,1.94%
35,雪豹,23,1913,1.91%
36,疣豬,23,1598,1.60%
37,遊隼,21,1466,1.47%
38,電鰻,22,1326,1.33%
39,雪鴞,21,1257,1.26%
40,乳牛,21,1016,1.02%
41,擬態章魚,20,790,0.79%
42,人,19,698,0.70%
43,海獺,20,683,0.68%
44,黑斑羚,19,540,0.54%
45,貓頭鷹,19,475,0.47%
46,浣熊,19,465,0.46%
47,黃鼠狼,18,390,0.39%
48,蠍子,18,390,0.39%
49,穿山甲,17,385,0.39%
50,豪豬,18,364,0.36%
51,食蟻獸,19,351,0.35%
52,加拉巴哥象龜,16,276,0.28%
53,狐獴,17,272,0.27%
54,大耳狐,17,194,0.19%
55,鴨嘴獸,18,191,0.19%
56,犰狳,16,165,0.17%
57,丹頂鶴,17,141,0.14%
58,鵜鶘,17,123,0.12%
59,皇帝企鵝,17,100,0.10%
60,箭毒蛙,14,69,0.07%
61,樹懶,13,18,0.02%
62,孔雀,14,18,0.02%
63,火雞,13,9,0.01%
64,蘭花螳螂,11,0,0.00%
